hours,minute,second
0,0,0
0,0,0
0,0,3
0,0,3
0,0,0
0,0,0
0,0,2
0,0,5
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,2
0,0,2
0,0,2
0,0,3
0,0,0
0,0,15
0,0,15
0,0,15
0,0,18
0,0,20
0,0,23
0,0,1
0,0,1
0,0,7
3,1,33
3,1,33
3,1,33
3,1,33
3,1,35
3,1,48
3,1,49
3,1,49
3,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
5,1,49
9,1,49
9,1,49
9,1,49
0,0,0
0,0,0
0,0,0
0,0,0
2,0,0
2,0,1
2,0,1
2,0,48
2,0,48
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
2,0,52
0,0,0
0,0,1
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,7
0,0,0
0,0,2
0,0,0
0,0,0
0,0,0
0,0,36
0,0,36
0,0,36
0,0,39
0,0,39
0,0,40
0,0,40
0,0,0
0,0,0
0,0,3
0,0,3
0,0,10
0,0,10
0,0,10
0,0,10
0,0,10
0,0,0
0,0,1
0,0,1
0,0,1
0,0,1
0,0,2
0,0,2
0,0,2
0,0,2
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,3
0,0,5
0,0,0
0,0,9
0,0,12
0,0,12
0,0,13
0,0,13
0,0,13
0,0,14
0,0,14
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,15
0,0,16
0,0,16
0,0,16
0,0,18
0,0,19
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,2
0,0,0
0,0,1
0,0,1
0,0,0
0,4,19
0,4,19
0,22,59
0,23,5
0,27,14
0,27,14
0,27,43
0,6,42
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,1
0,0,1
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
0,0,0
0,0,0
0,0,0
0,4,33
0,21,54
0,21,56
0,21,56
0,7,20
0,7,20
0,18,57
0,0,0
0,0,0
0,0,1
0,0,2
0,0,4
0,0,5
0,0,0
0,0,3
0,0,3
0,0,3
0,0,4
0,0,4
0,0,0
0,0,0
0,0,3
0,0,3
0,0,3
0,0,3
0,0,6
0,0,6
0,15,11
0,15,12
0,15,13
0,15,24
0,15,26
0,15,26
0,15,27
0,13,40
0,13,42
0,13,43
0,17,49
0,17,51
0,17,51
0,17,51
0,19,19
0,19,19
0,19,19
0,19,19
0,19,21
0,19,21
0,0,0
0,0,0
0,0,3
0,0,3
0,0,3
0,0,3
0,0,3
2,0,0
0,0,19
0,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,19
2,0,21
2,0,23
2,0,23
2,0,23
2,0,25
2,0,25
0,0,0
0,0,0
0,24,40
0,0,0
